id,name
286,千葉県立君津商業高等学校
287,兵庫県立神戸鈴蘭台高等学校
288,福島県立会津工業等学校
289,兵庫県立武庫荘高等学校
290,捜真女学校高等学部
291,京都翔英高等学校
292,岐阜県立東濃高校県立可児工業高校
293,地球環境高等学校
294,興南高等学校
295,北海道函館稜北高等学校
296,秀明八千代中学・高等学校
297,東京都立山崎高等学校
298,岩田中学・高等学校
299,金蘭会高等学校
300,栃木県立足利南高等学校
301,長崎県立諫早農業高等学校
302,敬和学園高等学校
303,京都府立木津高等学校
304,滋賀県立膳所高等学校
305,東京都立清瀬高等学校
306,伊勢崎市立四ツ葉学園中等教育学校後期課程
307,福島県立田島高等学校
308,山口県立岩国高等学校
309,龍谷富山高等学校
310,大阪府立北野高等学校
311,埼玉県立越谷総合技術高等学校
312,千葉県立安房拓心高等学校・南房総市立和田中学校
313,龍谷大学付属平安中学校・高等学校
314,茨城県立日立商業高等学校
315,兵庫県立明石北高等学校
316,宮城県大河原高等学校
317,愛知県立安城南高等学校
318,北海道歌志内高等学校
319,山形県立上山高等学校
320,埼玉県立上尾南高等学校
321,兵庫県立高砂南高等学校
322,熊本マリスト学園中学校・高等学校
323,山口県立田布施農業高等学校
324,秋田県立花岡工業高等学校
325,関西大倉中学校・高等学校
326,明法高等学校
327,駒込高等学校
328,岸和田市立産業高等学校
329,敬愛学園高等学校
330,大西学園中学校・高等学校
331,大阪府立門真なみはや高等学校
332,如水館中学・高等学校
333,福山市立福山中・高等学校
334,樟蔭中学校・高等学校
335,伊勢崎市立伊勢崎高等学校・四ツ葉学園中等教育学校
336,北海道森高等学校
337,光ヶ丘女子高等学校
338,大分県立三重高等学校
339,桐光学園高等学校
340,さいたま市立大宮北高等学校
341,英明高等学校
342,東京都立園芸高等学校
343,山口県立柳井工業高等学校
344,福島県立塙工業高等学校
345,岡山県立総社南高等学校
346,香川県藤井高等学校
347,千葉県立土気高等学校
348,西武台千葉中学校・西武台千葉高等学校
349,上越高等学校
350,宮崎県立宮崎南高等学校
351,高知中央高等学校
352,静岡県立相良高等学校
353,愛媛県立今治東高等学校
354,群馬県立勢多農林高等学校
355,愛媛県立大三島高等学校
356,関市立関商工高等学校
357,宮城県泉館山高等学校
358,神奈川県立大和東高等学校
359,福島県立船引高等学校
360,高知県立高知農業高等学校
361,兵庫県立社高等学校
362,広島県立油木高等学校
363,青森県立青森南高等学校
364,松蔭学園
365,近畿大学附属高等学校
366,東京都立桜町高等学校
367,東筑紫学園高等学校
368,大分県立大分工業高等学校
369,富田高等学校・岐阜東高等学校
370,熊本県立熊本工業高等学校
371,福岡市立福岡女子高等学校
372,高朋高等学校
373,静岡県立浜松江之島高等学校
374,長万部高等学校・熊石高等学校
375,大阪府立長尾高等学校
376,東奥義塾高等学校
377,東大阪大学柏原高等学校
378,熊本県立八代東高等学校・八代工業高等学校
379,秋田県立大館工業高等学校
380,稚内大谷高等学校
381,福島県立福島工業高等学校
382,東海大学付属相模高等学校
383,福岡県立門司商業高等学校
384,千葉県立犢橋高等学校
385,米沢中央高等学校
386,静岡県立御殿場南高等学校
387,福島県立内郷高等学校
388,千葉日本大学第一高等学校
389,大阪府立北かわち皐が丘高等学校
390,福岡県立大川高等学校
391,川崎市立高津高等学校
392,滋賀県立守山中学校・高等学校
393,愛媛県立今治南高等学校
394,甲府市立甲府商業高等学校
395,茨城県立並木高等学校
396,青森県立今別高等学校
397,近江兄弟社高等学校
398,八戸工業高等専門学校
399,希望が丘高等学校
400,広島市立広島商業高等学校
401,宮崎日本大学中学校・高等学校
402,鹿児島県立錦江湾高等学校
403,立命館守山高等学校
404,東海高等学校
405,三重県立明野高等学校
406,三重県立津高等学校
407,東京都立小平高等学校
408,高知県立嶺北中・高等学校
409,清真学園高等学校
410,千葉市立千葉高等学校
411,大阪府立江南高等学校
412,上宮学園
413,神奈川県立大和高等学校
414,阪急商業学園
415,九州学院中学・高等学校
416,岩手県立大船渡東高等学校
417,城星学園中学校・高等学校
418,関西福祉大学金光藤蔭高等学校
419,京都府立北嵯峨高等学校
420,博多女子商業高等学校
421,岩手県立一関工業高等学校
422,北海道函館中部高等学校
423,奈良県立登美ケ丘高等学校
424,新潟県立柏崎常盤高等学校
425,祇園北高等学校
426,長野県篠ノ井高等学校
427,岐阜県立岐阜総合学園高等学校
428,岩手県立釜石北高等学校
429,近畿大学附属和歌山高等学校
430,沖縄県立那覇西高等学校
431,広島県立呉昭和高等学校
432,和歌山県立橋本高等学校
433,愛媛県立大洲高等学校
434,白樺学園高等学校
435,南山高等・中学校男子部
436,平安中学校・高等学校
437,滋賀県立日野高等学校
438,大阪府立東寝屋川・北かわち皐ヶ丘高等学校
439,兵庫県立西脇高等学校
440,光英VERITAS中学校・高等学校
441,長野県大町北高等学校
442,学法福島高等学校
443,大分県立大分女子高等学校
444,日星高等学校
445,大阪府立枚方高等学校
446,埼玉県立越谷北高等学校
447,山形県立荒砥高等学校
448,鵬翔高等学校
449,鳥取県立鳥取湖陵高等学校
450,兵庫県立豊岡高等学校
451,埼玉県立大宮光陵高等学校
452,長野日本大学中学・高等学校
453,北海道岩内高等学校
454,愛知県立瀬戸北総合高等学校
455,新潟県立栃尾高等学校
456,駒場東邦高等学校
457,茨城県立大子清流高等学校
458,青森県立青森西高等学校
459,岡山県立瀬戸南高等学校
460,玉名女子高等学校
461,千葉県立印旛明誠高等学校
462,品川女子学院
463,海星高等学校
464,北海道七飯高等学校
465,金蘭千里高等学校・中学校
466,高岡日本大学高等学校
467,広島県立戸手高等学校
468,文教大学付属高等学校
469,沖縄県立浦添高等学校
470,大阪府立懐風館・羽曳野高等学校
471,大阪国際滝井高等学校
472,千葉県立船橋古和釜高等学校
473,新潟県立新発田商業高等学校
474,富山県立氷見高等学校
475,京都府立宮津高等学校
476,埼玉県立小鹿野高等学校
477,三重県立上野農業高等学校・三重県立久居農林高等学校・三重県立明野高等学校
478,大阪府立泉陽高等学校
479,旭川実業高等学校
480,兵庫県立吉川高等学校
481,福井県立高志高等学校
482,島根県立邇摩高等学校
483,千葉商科大学付属高等学校 
484,沖縄県立那覇商業高等学校
485,開智日本橋学園高等学校
486,広島なぎさ中学校・高等学校
487,山梨県立白根高等学校
488,岡谷東・富士見高等学校
489,神奈川県立座間高等学校
490,北海道札幌北高等学校
491,大阪府立少路高等学校
492,千葉県立木更津高等学校
493,大阪府立狭山高等学校
494,創成館高等学校
495,藤沢翔陵高等学校										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 										 					
496,広島県立広島中学校・広島高等学校
497,九州朝鮮中高級学校
498,学校法人高知学園　高知中学高等学校
499,石川県立金沢伏見高等学校
500,愛知県立松平高等学校
501,創学館高等学校
502,宇都宮短期大学附属高等学校
503,山形市立商業高等学校
504,長崎県立松浦高等学校
505,岐阜県立瑞浪高等学校
506,日本学園高等学校
507,埼玉県立浦和東高等学校
508,富山県立石動高等学校
509,神奈川県立大井高等学校
510,福岡朝鮮学園九州朝鮮中高級学校
511,新潟県立柏崎翔洋中等教育学校
512,白鵬女子高等学校
513,北海道名寄農業高等学校
514,長崎県立佐世保南高等学校
