schoolId,prefectureId,year,prize,last,representative
786,39,2017,銀賞,都道府県,False
4274,39,2017,銀賞,都道府県,False
4037,39,2017,銀賞,支部,False
2210,39,2017,銀賞,都道府県,False
2400,39,2017,銀賞,都道府県,False
4797,39,2017,銀賞,支部,False
3628,39,2017,銀賞,都道府県,False
2003,39,2017,銀賞,都道府県,False
3822,39,2016,金賞,支部,False
3544,40,2016,銀賞,支部,False
4950,41,2016,金賞,支部,False
4632,44,2016,銀賞,支部,False
3191,44,2016,銀賞,支部,False
4153,45,2016,銀賞,支部,False
3561,39,2016,金賞,支部,False
4541,39,2016,金賞,支部,False
494,41,2016,金賞,支部,False
1725,43,2016,銀賞,支部,False
370,42,2016,金賞,支部,False
3334,39,2016,金賞,全国,False
2802,46,2016,金賞,支部,False
4561,39,2016,金賞,支部,False
3759,44,2016,金賞,支部,False
3738,40,2016,銀賞,支部,False
3280,41,2016,金賞,支部,False
4274,39,2016,金賞,支部,False
2400,39,2016,金賞,支部,False
5022,42,2016,金賞,支部,False
460,42,2016,金賞,全国,False
2715,41,2016,金賞,支部,False
2178,46,2016,銀賞,支部,False
4035,45,2016,銀賞,支部,False
1672,39,2016,金賞,全国,False
2812,43,2016,金賞,支部,False
4797,39,2015,金賞,支部,False
4950,41,2015,銅賞,全国,False
494,41,2015,銀賞,支部,False
1073,46,2015,銀賞,支部,False
1093,43,2015,金賞,支部,False
4018,45,2015,銀賞,支部,False
3334,39,2015,銀賞,全国,False
5022,42,2015,金賞,支部,False
3191,44,2015,銀賞,支部,False
3738,40,2015,金賞,支部,False
1672,39,2015,金賞,支部,False
1725,43,2015,銀賞,支部,False
460,42,2015,金賞,全国,False
2621,42,2015,銀賞,支部,False
3759,44,2015,金賞,支部,False
2178,46,2015,銀賞,支部,False
2102,39,2015,金賞,支部,False
3561,39,2015,銀賞,支部,False
2812,43,2015,金賞,支部,False
4867,39,2015,銀賞,支部,False
3280,41,2015,銀賞,支部,False
3212,40,2015,銀賞,支部,False
2979,43,2015,銀賞,支部,False
2715,41,2015,銀賞,支部,False
4035,45,2015,金賞,支部,False
4037,39,2015,金賞,支部,False
2178,46,2014,金賞,支部,False
5004,41,2014,銀賞,支部,False
4632,44,2014,銀賞,支部,False
3280,41,2014,銀賞,支部,False
282,39,2014,金賞,支部,False
2751,43,2014,金賞,支部,False
1093,43,2014,金賞,支部,False
3544,40,2014,銀賞,支部,False
1222,39,2014,金賞,支部,False
4797,39,2014,銀賞,支部,False
4035,45,2014,銀賞,支部,False
2102,39,2014,金賞,支部,False
460,42,2014,金賞,全国,False
3334,39,2014,銅賞,全国,False
2430,39,2014,金賞,支部,False
2812,43,2014,金賞,支部,False
4153,45,2014,銀賞,支部,False
4541,39,2014,金賞,支部,False
2802,46,2014,金賞,支部,False
3759,44,2014,金賞,支部,False
5213,41,2014,銀賞,支部,False
494,41,2014,金賞,支部,False
3738,40,2014,金賞,支部,False
1672,39,2014,金賞,全国,False
3939,42,2014,金賞,支部,False
5022,42,2014,金賞,支部,False
3759,44,2013,銀賞,支部,False
5022,42,2013,銀賞,支部,False
1672,39,2013,金賞,全国,False
494,41,2013,銀賞,支部,False
181,42,2013,銀賞,支部,False
1725,43,2013,銀賞,支部,False
2430,39,2013,銀賞,支部,False
4561,39,2013,銀賞,支部,False
2751,43,2013,銀賞,全国,False
648,41,2013,銀賞,支部,False
3738,40,2013,銀賞,支部,False
2802,46,2013,銅賞,全国,False
1137,45,2013,銅賞,支部,False
1139,44,2013,銀賞,支部,False
2715,41,2013,銀賞,支部,False
5004,41,2013,銀賞,支部,False
2621,42,2013,銀賞,支部,False
4274,39,2013,銀賞,支部,False
2178,46,2013,銀賞,支部,False
3544,40,2013,銀賞,支部,False
1093,43,2013,金賞,支部,False
4036,43,2013,銀賞,支部,False
4797,39,2013,銀賞,支部,False
4336,39,2013,銀賞,支部,False
4035,45,2013,銀賞,支部,False
3334,39,2013,審査対象外,支部,False
3267,35,2013,銀賞,支部,False
3265,37,2013,銀賞,支部,False
4958,38,2013,銅賞,支部,False
5219,36,2013,銅賞,全国,False
3750,38,2013,銅賞,支部,False
2439,37,2013,金賞,支部,False
4689,35,2013,金賞,支部,False
3855,36,2013,銅賞,支部,False
4196,35,2013,銀賞,支部,False
1780,38,2013,銀賞,支部,False
967,37,2013,銅賞,全国,False
4264,36,2013,銀賞,支部,False
2862,37,2013,金賞,支部,False
4421,35,2013,銅賞,支部,False
2799,31,2013,銀賞,支部,False
20,32,2013,銀賞,支部,False
3866,34,2013,銀賞,支部,False
2428,30,2013,銀賞,支部,False
2294,33,2013,銅賞,支部,False
894,32,2013,銅賞,支部,False
4294,32,2013,銅賞,支部,False
1939,31,2013,金賞,支部,False
1996,31,2013,金賞,支部,False
773,31,2013,銀賞,支部,False
3507,31,2013,銀賞,全国,False
2619,34,2013,銅賞,全国,False
4390,33,2013,銀賞,支部,False
2391,30,2013,銀賞,支部,False
5057,30,2013,銀賞,支部,False
4396,34,2013,金賞,支部,False
4022,33,2013,銅賞,支部,False
187,32,2013,銀賞,全国,False
2419,34,2013,金賞,支部,False
2213,33,2013,銀賞,支部,False
4223,30,2013,金賞,支部,False
4078,25,2013,銀賞,支部,False
2096,24,2013,銀賞,支部,False
2863,26,2013,銀賞,支部,False
4769,28,2013,金賞,支部,False
4211,24,2013,銀賞,支部,False
3348,26,2013,銀賞,支部,False
3055,24,2013,金賞,支部,False
2840,24,2013,銀賞,支部,False
304,27,2013,銅賞,支部,False
3823,26,2013,銀賞,支部,False
3486,29,2013,銀賞,支部,False
1142,24,2013,銀賞,全国,False
3977,24,2013,金賞,支部,False
903,27,2013,銅賞,支部,False
973,26,2013,銀賞,支部,False
2489,26,2013,銀賞,支部,False
4562,28,2013,銀賞,支部,False
1273,25,2013,銅賞,支部,False
3494,29,2013,銀賞,支部,False
95,24,2013,金賞,全国,False
365,24,2013,銅賞,全国,False
3514,25,2013,銀賞,支部,False
2008,17,2013,銀賞,支部,False
4494,16,2013,銀賞,支部,False
4322,19,2013,銀賞,支部,False
1242,20,2013,銀賞,支部,False
191,18,2013,銅賞,支部,False
2936,16,2013,銀賞,全国,False
3987,19,2013,金賞,支部,False
4473,20,2013,銀賞,支部,False
4418,16,2013,銅賞,支部,False
1342,18,2013,銀賞,支部,False
1952,17,2013,金賞,支部,False
4988,19,2013,銀賞,支部,False
1787,20,2013,銀賞,支部,False
3650,16,2013,銀賞,支部,False
1735,16,2013,銀賞,支部,False
5036,18,2013,銅賞,支部,False
2932,20,2013,銀賞,全国,False
337,16,2013,銀賞,全国,False
1686,19,2013,金賞,支部,False
4085,17,2013,金賞,支部,False
3952,21,2013,銀賞,支部,False
4559,21,2013,銅賞,全国,False
3449,22,2013,金賞,支部,False
84,23,2013,銀賞,支部,False
2423,22,2013,銀賞,支部,False
2169,22,2013,金賞,支部,False
2659,21,2013,銅賞,支部,False
3420,23,2013,金賞,支部,False
4894,23,2013,金賞,支部,False
4750,23,2013,銀賞,支部,False
72,22,2013,銀賞,全国,False
2095,22,2013,銀賞,支部,False
