schoolId,prefectureId,year,nationalBest,regionalBest
4024,60,2016,,4
1095,60,2016,,4
139,60,2016,,8
2216,60,2016,,8
4869,60,2016,,8
3197,60,2016,,8
1715,60,2015,4,1
2216,60,2015,,2
3197,60,2015,,4
4443,60,2015,,4
2801,60,2015,,8
2606,60,2015,,8
2681,60,2015,,8
4869,60,2015,,8
4024,60,2014,16,1
3197,60,2014,,2
5110,60,2014,,4
1715,60,2014,,4
2552,60,2014,,8
787,60,2014,,8
5008,60,2014,,8
2606,60,2014,,8
4869,60,2013,32,1
4024,60,2013,,2
2681,60,2013,,4
1715,60,2013,,4
932,60,2013,,8
139,60,2013,,8
1095,60,2013,,8
1863,60,2013,,8
941,61,2017,4,1
2318,61,2017,,2
2586,61,2017,,4
4929,61,2017,,4
5047,61,2017,,8
4265,61,2017,,8
506,61,2017,,8
3476,61,2017,,8
2586,61,2016,64,1
941,61,2016,,2
5047,61,2016,,4
4678,61,2016,,4
2377,61,2016,,8
2056,61,2016,,8
3241,61,2016,,8
2318,61,2016,,8
2318,61,2015,4,1
941,61,2015,,2
3241,61,2015,,4
5047,61,2015,,4
3701,61,2015,,8
2586,61,2015,,8
2090,61,2015,,8
2377,61,2015,,8
1867,61,2014,64,1
941,61,2014,,2
3241,61,2014,,4
5047,61,2014,,4
407,61,2014,,8
2586,61,2014,,8
4265,61,2014,,8
4387,61,2014,,8
5047,61,2013,32,1
4021,61,2013,,2
4678,61,2013,,4
2090,61,2013,,4
966,61,2013,,8
4265,61,2013,,8
2318,61,2013,,8
941,61,2013,,8
4577,11,2017,64,1
382,11,2017,,2
1135,11,2017,,4
339,11,2017,,4
4891,11,2017,,8
1356,11,2017,,8
2612,11,2017,,8
1615,11,2017,,8
4577,11,2016,32,1
4891,11,2016,,2
339,11,2016,,4
3762,11,2016,,4
1135,11,2016,,8
382,11,2016,,8
495,11,2016,,8
3916,11,2016,,8
382,11,2015,1,1
4577,11,2015,,2
339,11,2015,,4
2612,11,2015,,4
3916,11,2015,,8
4891,11,2015,,8
1471,11,2015,,8
2729,11,2015,,8
382,11,2014,32,1
2536,11,2014,,2
3916,11,2014,,4
4577,11,2014,,4
1356,11,2014,,8
339,11,2014,,8
1043,11,2014,,8
3635,11,2014,,8
4577,11,2013,16,1
2729,11,2013,,2
3762,11,2013,,4
382,11,2013,,4
2536,11,2013,,8
4891,11,2013,,8
90,11,2013,,8
339,11,2013,,8
3657,12,2017,32,1
3894,12,2017,,2
1784,12,2017,,4
4191,12,2017,,4
3237,12,2017,,8
2925,12,2017,,8
5137,12,2017,,8
940,12,2017,,8
3894,12,2016,64,1
1074,12,2016,,2
2947,12,2016,,4
4970,12,2016,,4
2429,12,2016,,8
2230,12,2016,,8
2925,12,2016,,8
3061,12,2016,,8
3894,12,2015,64,1
3657,12,2015,,2
2775,12,2015,,4
602,12,2015,,4
4191,12,2015,,8
1574,12,2015,,8
1603,12,2015,,8
2429,12,2015,,8
3657,12,2014,4,1
1603,12,2014,,2
4191,12,2014,,4
1074,12,2014,,4
3894,12,2014,,8
3705,12,2014,,8
2429,12,2014,,8
3679,12,2014,,8
3657,12,2013,64,1
1574,12,2013,,2
4413,12,2013,,4
4970,12,2013,,4
3894,12,2013,,8
2298,12,2013,,8
1074,12,2013,,8
217,12,2013,,8
3420,23,2017,32,1
372,23,2017,,2
1237,23,2017,,4
1062,23,2017,,4
723,23,2017,,8
5000,23,2017,,8
1885,23,2017,,8
4080,23,2017,,8
723,23,2016,32,1
4894,23,2016,,2
474,23,2016,,4
3287,23,2016,,4
1237,23,2016,,8
2263,23,2016,,8
2395,23,2016,,8
3420,23,2016,,8
3420,23,2015,32,1
2395,23,2015,,2
1675,23,2015,,4
1062,23,2015,,4
883,23,2015,,8
474,23,2015,,8
4894,23,2015,,8
1156,23,2015,,8
4894,23,2014,16,1
3420,23,2014,,2
723,23,2014,,4
5000,23,2014,,4
3269,23,2014,,8
3287,23,2014,,8
2107,23,2014,,8
1237,23,2014,,8
723,23,2013,8,1
2263,23,2013,,2
1062,23,2013,,4
883,23,2013,,4
1237,23,2013,,8
474,23,2013,,8
2811,23,2013,,8
1156,23,2013,,8
2660,22,2017,32,1
50,22,2017,,2
2095,22,2017,,4
670,22,2017,,4
2935,22,2017,,8
2714,22,2017,,8
5076,22,2017,,8
3207,22,2017,,8
2095,22,2016,64,1
2660,22,2016,,2
50,22,2016,,4
5076,22,2016,,4
1495,22,2016,,8
48,22,2016,,8
2042,22,2016,,8
2169,22,2016,,8
50,22,2015,16,1
48,22,2015,,2
3207,22,2015,,4
5076,22,2015,,4
920,22,2015,,8
730,22,2015,,8
2095,22,2015,,8
5222,22,2015,,8
2095,22,2014,16,1
5076,22,2014,,2
2935,22,2014,,4
50,22,2014,,4
3016,22,2014,,8
2969,22,2014,,8
670,22,2014,,8
2660,22,2014,,8
2095,22,2013,64,1
50,22,2013,,2
48,22,2013,,4
670,22,2013,,4
2969,22,2013,,8
72,22,2013,,8
5076,22,2013,,8
2935,22,2013,,8
4068,21,2017,32,1
663,21,2017,,2
4559,21,2017,,4
4806,21,2017,,4
4244,21,2017,,8
3854,21,2017,,8
3073,21,2017,,8
642,21,2017,,8
2308,21,2016,64,1
4806,21,2016,,2
4068,21,2016,,4
1593,21,2016,,4
1223,21,2016,,8
4807,21,2016,,8
3854,21,2016,,8
1280,21,2016,,8
4244,21,2015,32,1
4807,21,2015,,2
1280,21,2015,,4
3854,21,2015,,4
4806,21,2015,,8
1223,21,2015,,8
1473,21,2015,,8
5088,21,2015,,8
4244,21,2014,4,1
4807,21,2014,,2
3854,21,2014,,4
1593,21,2014,,4
2308,21,2014,,8
4559,21,2014,,8
481,21,2014,,8
4806,21,2014,,8
4806,21,2013,16,1
5227,21,2013,,2
2769,21,2013,,4
4790,21,2013,,4
4244,21,2013,,8
2207,21,2013,,8
2308,21,2013,,8
4559,21,2013,,8
1036,14,2017,64,1
3570,14,2017,,2
4217,14,2017,,4
1335,14,2017,,4
4523,14,2017,,8
3809,14,2017,,8
197,14,2017,,8
4139,14,2017,,8
1036,14,2016,32,1
3570,14,2016,,2
1335,14,2016,,4
3851,14,2016,,4
3931,14,2016,,8
3682,14,2016,,8
1548,14,2016,,8
394,14,2016,,8
3570,14,2015,16,1
2610,14,2015,,2
1335,14,2015,,4
3809,14,2015,,4
3682,14,2015,,8
394,14,2015,,8
4878,14,2015,,8
3851,14,2015,,8
3570,14,2014,64,1
1335,14,2014,,2
1036,14,2014,,4
3931,14,2014,,4
3809,14,2014,,8
2511,14,2014,,8
3851,14,2014,,8
394,14,2014,,8
3931,14,2013,32,1
1335,14,2013,,2
3570,14,2013,,4
4217,14,2013,,4
1036,14,2013,,8
1308,14,2013,,8
2610,14,2013,,8
3136,14,2013,,8
3368,19,2017,32,1
3868,19,2017,,2
2220,19,2017,,4
4309,19,2017,,4
2485,19,2017,,8
669,19,2017,,8
608,19,2017,,8
2066,19,2017,,8
3868,19,2016,64,1
3368,19,2016,,2
2642,19,2016,,4
608,19,2016,,4
2066,19,2016,,8
4426,19,2016,,8
669,19,2016,,8
2485,19,2016,,8
669,19,2015,32,1
3868,19,2015,,2
608,19,2015,,4
3368,19,2015,,4
3034,19,2015,,8
2085,19,2015,,8
4322,19,2015,,8
4937,19,2015,,8
3868,19,2014,32,1
4243,19,2014,,2
768,19,2014,,4
1124,19,2014,,4
293,19,2014,,8
866,19,2014,,8
669,19,2014,,8
2642,19,2014,,8
669,19,2013,64,1
3868,19,2013,,2
293,19,2013,,4
4243,19,2013,,4
4937,19,2013,,8
2642,19,2013,,8
984,19,2013,,8
3368,19,2013,,8
1569,18,2017,32,1
1567,18,2017,,2
1342,18,2017,,4
996,18,2017,,4
4916,18,2017,,8
4465,18,2017,,8
18,18,2017,,8
2364,18,2017,,8
1567,18,2016,32,1
1569,18,2016,,2
2629,18,2016,,4
996,18,2016,,4
2204,18,2016,,8
356,18,2016,,8
4465,18,2016,,8
2024,18,2016,,8
4651,18,2015,64,1
3493,18,2015,,2
1569,18,2015,,4
2024,18,2015,,4
1567,18,2015,,8
5036,18,2015,,8
996,18,2015,,8
2204,18,2015,,8
1569,18,2014,32,1
4923,18,2014,,2
2024,18,2014,,4
427,18,2014,,4
1567,18,2014,,8
4953,18,2014,,8
3107,18,2014,,8
4325,18,2014,,8
1569,18,2013,64,1
996,18,2013,,2
2024,18,2013,,4
1567,18,2013,,4
3030,18,2013,,8
