fullName,nationalBest,prefecture,regionalBest,shortName,year
滋賀県立北大津高等学校,,滋賀,2,北大津,2014
滋賀県立八幡商業高等学校,,滋賀,4,八幡商,2014
滋賀県立伊香高等学校,,滋賀,4,伊香,2014
綾羽高等学校,,滋賀,8,綾羽,2014
滋賀学園高等学校,,滋賀,8,滋賀学園,2014
比叡山高等学校,,滋賀,8,比叡山,2014
滋賀県立彦根東高等学校,,滋賀,8,彦根東,2014
滋賀県立彦根東高等学校,32,滋賀,1,彦根東,2013
近江兄弟社高等学校,,滋賀,2,近江兄弟社,2013
近江高等学校,,滋賀,4,近江,2013
滋賀県立八幡工業高等学校,,滋賀,4,八幡工,2013
滋賀県立守山北高等学校,,滋賀,8,守山北,2013
滋賀県立水口東高等学校,,滋賀,8,水口東,2013
綾羽高等学校,,滋賀,8,綾羽,2013
滋賀学園高等学校,,滋賀,8,滋賀学園,2013
京都成章高等学校,32,京都,1,京都成章,2017
龍谷大学付属平安高等学校,,京都,2,龍谷大平安,2017
京都府立綾部高等学校,,京都,4,綾部,2017
京都府立西城陽高等学校,,京都,4,西城陽,2017
花園高等学校,,京都,8,花園,2017
京都市立塔南高等学校,,京都,8,塔南,2017
山梨県立富士北稜高等学校,,京都,8,富士北稜,2017
東山高等学校,,京都,8,東山,2017
京都翔英高等学校,64,京都,1,京都翔英,2016
福知山成美高等学校,,京都,2,福知山成美,2016
立命館宇治高等学校,,京都,4,立命館宇治,2016
京都市立塔南高等学校,,京都,4,塔南,2016
京都文教高等学校,,京都,8,京都文教,2016
京都廣学館高等学校,,京都,8,京都廣学館,2016
東山高等学校,,京都,8,東山,2016
日星高等学校,,京都,8,日星,2016
京都府立鳥羽高等学校,16,京都,1,鳥羽,2015
立命館宇治高等学校,,京都,2,立命館宇治,2015
京都共栄学園,,京都,4,京都共栄,2015
京都府立乙訓高等学校,,京都,4,乙訓,2015
同志社高等学校,,京都,8,同志社,2015
京都市立塔南高等学校,,京都,8,塔南,2015
京都府立城南菱創高等学校,,京都,8,城南菱創,2015
京都翔英高等学校,,京都,8,京都翔英,2015
龍谷大学付属平安高等学校,64,京都,1,龍谷大平安,2014
京都府立京都すばる高等学校,,京都,2,京都すばる,2014
東山高等学校,,京都,4,東山,2014
京都府立山城高等学校,,京都,4,山城,2014
京都府立綾部高等学校,,京都,8,綾部,2014
京都府立乙訓高等学校,,京都,8,乙訓,2014
山梨県立富士北稜高等学校,,京都,8,富士北稜,2014
京都府立桂高等学校,,京都,8,桂,2014
福知山成美高等学校,64,京都,1,福知山成美,2013
京都府立鳥羽高等学校,,京都,2,鳥羽,2013
京都廣学館高等学校,,京都,4,京都廣学館,2013
京都翔英高等学校,,京都,4,京都翔英,2013
立命館宇治高等学校,,京都,8,立命館宇治,2013
京都府立洛西高等学校,,京都,8,洛西,2013
京都府立北嵯峨高等学校,,京都,8,北嵯峨,2013
龍谷大学付属平安高等学校,,京都,8,龍谷大平安,2013
大阪桐蔭高等学校,16,大阪,1,大阪桐蔭,2017
大阪府立大冠高等学校,,大阪,2,大冠,2017
履正社高等学校,,大阪,4,履正社,2017
上宮高等学校,,大阪,4,上宮,2017
興國高等学校,,大阪,8,興國,2017
大阪体育大学浪商高等学校,,大阪,8,大体大浪商,2017
春日丘高等学校,,大阪,8,春日丘,2017
大阪市立汎愛高等学校,,大阪,8,汎愛,2017
履正社高等学校,16,大阪,1,履正社,2016
金光大阪高等学校,,大阪,2,金光大阪,2016
大阪市立桜宮高等学校,,大阪,4,桜宮,2016
関西創価高等学校,,大阪,4,関西創価,2016
